TransactionID,AccountID,TransactionAmount,TransactionDate,Location,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Balance_Category,Age_Category,Cluster,Cluster_After_FeatureSelection
TX000030,3,56.170000000000016,2023-09-20 16:55:42,55,3,4,22,27.0,283.0,1.0,1351.69,2024-11-04 08:08:30,True,True,False,False,False,True,Low,Young,0,1
TX000031,7,28.310000000000002,2023-07-17 17:49:22,56,3,7,27,59.0,20.0,1.0,8334.47,2024-11-04 08:09:17,False,False,True,False,False,False,High,Mature,1,0
TX000032,6,59.120000000000005,2023-02-06 16:24:24,47,3,5,21,29.0,257.0,1.0,9823.64,2024-11-04 08:06:58,True,False,False,False,False,False,High,Young,1,0
TX000034,6,877.81,2023-03-13 17:23:24,63,3,6,24,22.0,150.0,1.0,399.0,2024-11-04 08:07:50,True,False,True,False,False,True,Low,Young,0,1
TX000035,5,255.26,2023-10-27 16:42:49,53,3,7,29,45.0,50.0,1.0,14815.87,2024-11-04 08:10:51,False,True,False,False,False,False,Very High,Adult,1,0
TX000036,10,124.75999999999999,2023-10-16 16:32:56,57,6,2,29,49.0,45.0,1.0,5764.72,2024-11-04 08:06:23,True,True,False,True,False,False,Moderate,Adult,1,0
TX000037,4,78.13,2023-11-21 16:58:44,49,5,4,30,26.0,145.0,1.0,900.6099999999997,2024-11-04 08:12:18,True,True,False,False,False,True,Low,Young,0,1
TX000038,12,649.28,2023-03-02 17:53:32,53,2,5,23,75.0,137.0,1.0,4875.86,2024-11-04 08:11:15,True,False,False,False,True,False,Moderate,Senior,1,0
TX000040,5,335.63,2023-01-24 17:17:20,60,7,9,25,55.0,216.0,1.0,1019.3899999999999,2024-11-04 08:07:32,True,False,True,False,True,False,Low,Mature,0,1
TX000041,3,328.47,2023-07-31 18:39:50,54,1,4,32,63.0,119.0,1.0,4323.66,2024-11-04 08:07:31,True,False,False,False,True,False,Moderate,Mature,1,0
TX000042,10,34.01999999999998,2023-01-09 16:13:21,58,6,3,21,38.0,19.0,1.0,14214.48,2024-11-04 08:11:45,True,False,True,False,False,False,Very High,Adult,1,0
TX000043,5,241.42,2023-04-20 18:57:43,63,4,5,22,57.0,116.0,1.0,13357.02,2024-11-04 08:09:03,False,False,True,False,False,False,Very High,Mature,1,0
TX000044,1,55.31999999999999,2023-04-12 16:03:37,63,2,9,26,19.0,117.0,1.0,241.78999999999996,2024-11-04 08:08:03,True,False,False,False,False,True,Low,Young,0,1
TX000045,6,304.31,2023-07-26 16:52:28,47,4,8,28,27.0,33.0,1.0,868.6099999999997,2024-11-04 08:09:53,True,True,False,False,False,True,Low,Young,0,1
TX000046,6,435.27,2023-10-04 17:49:29,56,3,4,22,74.0,90.0,1.0,4673.28,2024-11-04 08:11:12,True,True,False,False,True,False,Moderate,Senior,1,0
TX000047,4,164.49,2023-12-13 16:01:38,47,4,6,30,26.0,75.0,1.0,1509.27,2024-11-04 08:10:33,True,True,False,False,False,True,Low,Young,0,1
TX000048,8,510.24,2023-10-09 16:29:40,60,3,6,23,19.0,105.0,1.0,781.6999999999998,2024-11-04 08:11:35,True,False,True,False,False,True,Low,Young,0,1
TX000049,4,626.9,2023-11-27 16:45:57,60,4,5,17,26.0,138.0,1.0,265.5100000000002,2024-11-04 08:07:24,True,False,True,False,False,True,Low,Young,0,1
TX000050,6,22.00999999999999,2023-03-27 16:45:18,50,5,5,21,41.0,175.0,1.0,1335.0900000000001,2024-11-04 08:06:31,False,False,True,True,False,False,Low,Adult,0,1
TX000051,5,425.34,2023-02-13 16:59:39,54,3,9,25,69.0,121.0,1.0,3907.54,2024-11-04 08:07:07,False,False,True,False,True,False,Moderate,Senior,1,0
TX000052,6,424.56,2023-02-21 17:45:55,59,2,6,29,51.0,264.0,1.0,5183.85,2024-11-04 08:09:02,True,False,True,True,False,False,Moderate,Mature,1,0
TX000053,3,85.43,2023-06-07 16:45:34,50,5,2,22,67.0,145.0,1.0,14904.9,2024-11-04 08:06:45,True,True,False,False,False,False,Very High,Senior,1,0
TX000054,5,169.5,2023-09-07 16:51:27,51,5,5,22,28.0,142.0,1.0,918.8800000000001,2024-11-04 08:08:58,True,True,False,False,False,True,Low,Young,0,1
TX000055,3,104.63,2023-03-29 17:47:16,59,4,6,19,62.0,90.0,1.0,4477.78,2024-11-04 08:10:42,True,False,False,False,True,False,Moderate,Mature,1,0
TX000056,6,316.95,2023-08-04 17:53:40,56,5,4,25,25.0,83.0,1.0,1324.0299999999997,2024-11-04 08:09:15,True,True,False,False,False,True,Low,Young,0,1
TX000057,5,60.53999999999999,2023-12-14 17:52:37,47,3,7,19,57.0,52.0,1.0,3534.93,2024-11-04 08:09:57,False,True,False,False,True,False,Low,Mature,1,0
TX000058,8,292.56,2023-03-03 17:37:41,44,5,5,16,68.0,61.0,1.0,4638.37,2024-11-04 08:07:49,False,True,False,False,True,False,Moderate,Senior,1,0
TX000059,5,386.52,2023-06-09 16:18:15,55,3,6,25,48.0,28.0,1.0,5630.61,2024-11-04 08:07:09,True,True,False,True,False,False,Moderate,Adult,1,0
TX000060,8,112.07,2023-10-02 16:35:22,54,2,5,25,23.0,51.0,1.0,930.3000000000002,2024-11-04 08:11:37,True,True,False,False,False,True,Low,Young,0,1
TX000061,7,568.52,2023-10-06 18:44:37,55,2,2,24,46.0,152.0,1.0,5499.91,2024-11-04 08:06:25,True,False,False,True,False,False,Moderate,Adult,1,0
TX000063,7,349.64,2023-11-07 16:48:23,49,4,9,23,48.0,226.0,1.0,6651.62,2024-11-04 08:08:09,True,False,True,True,False,False,Moderate,Adult,1,0
TX000064,4,601.4,2023-05-30 17:43:25,58,9,5,28,56.0,104.0,1.0,8458.29,2024-11-04 08:08:01,False,True,False,True,False,False,High,Mature,1,0
TX000065,7,5.769999999999982,2023-11-02 16:01:40,63,4,2,25,50.0,124.0,1.0,13988.12,2024-11-04 08:11:32,True,False,True,False,False,False,Very High,Mature,1,0
TX000066,9,201.33,2023-03-29 17:00:31,52,4,5,24,42.0,186.0,1.0,2585.07,2024-11-04 08:11:41,False,True,False,True,False,False,Low,Adult,0,1
TX000067,5,298.42,2023-04-25 16:11:24,55,3,7,28,56.0,225.0,1.0,3014.75,2024-11-04 08:10:12,True,True,False,False,True,False,Low,Mature,1,0
TX000068,9,521.06,2023-04-18 18:40:47,37,3,6,21,25.0,128.0,1.0,1951.42,2024-11-04 08:12:10,True,True,False,False,False,True,Low,Young,0,1
TX000069,3,117.28,2023-02-09 16:34:53,50,6,4,26,60.0,16.0,1.0,3665.77,2024-11-04 08:07:11,False,False,True,True,False,False,Low,Mature,1,0
TX000070,3,189.12,2023-11-13 16:42:28,55,4,5,25,32.0,103.0,1.0,977.0100000000002,2024-11-04 08:08:42,False,True,False,True,False,False,Low,Young,0,1
TX000071,5,133.55,2023-07-18 16:12:00,57,3,3,27,44.0,220.0,1.0,3846.28,2024-11-04 08:10:18,True,False,False,True,False,False,Moderate,Adult,0,1
TX000072,7,143.21,2023-01-13 17:00:16,44,5,4,32,35.0,135.0,1.0,6374.82,2024-11-04 08:09:26,True,False,True,True,False,False,Moderate,Adult,1,0
TX000073,4,24.769999999999982,2023-07-04 18:20:33,57,4,9,30,62.0,55.0,1.0,5866.01,2024-11-04 08:12:15,True,False,False,False,True,False,Moderate,Mature,1,0
TX000074,7,233.92,2023-10-20 16:54:28,53,7,9,21,26.0,280.0,1.0,6537.62,2024-11-04 08:08:45,False,False,True,False,False,True,Moderate,Young,0,1
TX000076,4,232.12,2023-12-28 17:31:03,59,7,5,32,37.0,51.0,1.0,6689.87,2024-11-04 08:09:17,True,False,False,True,False,False,Moderate,Adult,1,0
TX000077,5,162.63,2023-06-12 17:53:52,54,3,5,27,22.0,113.0,1.0,634.1700000000001,2024-11-04 08:08:22,True,False,True,False,False,True,Low,Young,0,1
TX000078,4,91.53,2023-03-13 16:32:12,49,3,2,19,44.0,69.0,1.0,14676.05,2024-11-04 08:11:36,True,True,False,False,False,False,Very High,Adult,1,0
TX000079,7,120.29000000000002,2023-12-18 18:46:27,56,4,3,19,19.0,77.0,1.0,1362.3900000000003,2024-11-04 08:06:50,True,True,False,False,False,True,Low,Young,0,1
TX000080,9,174.25,2023-07-17 18:54:31,57,2,4,20,50.0,67.0,1.0,10528.34,2024-11-04 08:10:29,True,False,True,False,False,False,High,Mature,1,0
TX000081,1,183.71,2023-06-19 18:22:10,60,3,4,23,38.0,102.0,1.0,552.5200000000004,2024-11-04 08:09:51,True,False,False,True,False,False,Low,Adult,0,1
TX000082,5,345.39,2023-10-23 17:13:57,50,5,6,18,58.0,80.0,1.0,6451.96,2024-11-04 08:08:16,False,False,True,True,False,False,Moderate,Mature,1,0
TX000084,5,259.91,2023-11-06 16:34:10,60,5,4,30,49.0,170.0,1.0,7176.86,2024-11-04 08:09:38,True,False,True,False,False,False,Moderate,Adult,1,0
TX000085,7,154.71,2023-07-03 16:40:24,51,4,5,21,34.0,157.0,1.0,1523.7200000000003,2024-11-04 08:09:42,True,False,True,False,False,False,Low,Adult,0,1
TX000087,4,24.560000000000002,2023-10-20 17:27:35,56,4,3,25,64.0,69.0,1.0,9869.93,2024-11-04 08:12:05,True,True,False,False,False,False,High,Mature,1,0
TX000088,9,568.07,2023-08-28 17:03:53,45,3,3,25,48.0,115.0,1.0,10556.81,2024-11-04 08:07:32,True,False,False,False,False,False,High,Adult,1,0
TX000089,7,9.610000000000014,2023-06-22 18:37:29,51,7,3,22,58.0,179.0,1.0,12883.91,2024-11-04 08:09:10,False,False,True,False,False,False,Very High,Mature,1,0
TX000090,4,392.96,2023-11-20 16:28:09,54,5,6,15,24.0,100.0,1.0,791.6499999999996,2024-11-04 08:08:38,True,False,True,False,False,True,Low,Young,0,1
TX000091,6,716.93,2023-09-14 16:49:33,49,3,8,25,60.0,34.0,1.0,4064.02,2024-11-04 08:08:12,False,False,True,False,True,False,Moderate,Mature,1,0
TX000093,4,230.66,2023-03-27 18:16:04,56,4,3,22,21.0,135.0,1.0,618.0500000000002,2024-11-04 08:10:44,True,True,False,False,False,True,Low,Young,0,1
TX000094,9,442.12,2023-12-21 16:37:03,63,4,2,26,19.0,260.0,1.0,1375.8000000000002,2024-11-04 08:08:21,True,False,True,False,False,True,Low,Young,0,1
TX000095,7,644.17,2023-03-02 16:05:09,54,1,2,20,29.0,72.0,1.0,1143.52,2024-11-04 08:08:04,True,False,False,True,False,False,Low,Young,0,1
TX000096,6,508.68,2023-06-26 16:16:50,56,6,5,21,51.0,127.0,1.0,7708.41,2024-11-04 08:09:32,False,True,False,True,False,False,High,Mature,1,0
TX000097,4,858.6300000000001,2023-04-18 17:27:23,53,3,4,29,27.0,185.0,1.0,1872.96,2024-11-04 08:10:47,False,True,False,False,False,True,Low,Young,0,1
TX000098,6,25.360000000000014,2023-07-17 17:08:24,47,1,4,26,57.0,78.0,1.0,201.03999999999996,2024-11-04 08:11:05,True,False,False,True,False,False,Low,Mature,0,1
TX000099,8,147.62,2023-09-01 17:26:02,63,1,7,30,71.0,133.0,1.0,2115.8,2024-11-04 08:07:22,True,True,False,False,True,False,Low,Senior,1,0
TX000100,4,115.01999999999998,2023-09-11 16:19:04,54,3,8,26,37.0,175.0,1.0,7643.66,2024-11-04 08:08:38,True,True,False,False,False,False,High,Adult,1,0
TX000101,7,383.37,2023-01-24 17:23:56,60,7,6,32,30.0,24.0,1.0,8901.93,2024-11-04 08:11:07,True,True,False,True,False,False,High,Young,1,0
TX000102,1,98.54000000000002,2023-08-11 16:18:46,41,3,5,19,20.0,167.0,1.0,9383.43,2024-11-04 08:10:02,False,False,True,False,False,True,High,Young,0,0
TX000103,5,83.24000000000001,2023-10-16 18:35:11,60,1,4,26,55.0,164.0,1.0,1181.31,2024-11-04 08:10:52,False,True,False,False,False,False,Low,Mature,1,1
TX000104,7,196.16,2023-02-24 16:29:23,50,4,2,25,27.0,146.0,1.0,9418.86,2024-11-04 08:08:32,True,True,False,True,False,False,High,Young,1,0
TX000105,6,129.94,2023-01-02 16:36:02,49,5,8,19,32.0,235.0,1.0,7954.92,2024-11-04 08:06:35,True,False,False,True,False,False,High,Young,1,0
TX000106,7,306.9,2023-11-30 16:31:03,53,5,5,26,46.0,51.0,1.0,9418.08,2024-11-04 08:10:48,True,False,True,True,False,False,High,Adult,1,0
TX000107,8,114.98000000000002,2023-11-01 16:52:01,57,3,1,20,59.0,80.0,1.0,6144.68,2024-11-04 08:09:24,True,False,True,False,True,False,Moderate,Mature,1,0
TX000108,7,756.59,2023-03-06 16:47:02,50,3,6,18,27.0,17.0,1.0,420.64999999999964,2024-11-04 08:11:40,True,True,False,False,False,True,Low,Young,0,1
TX000109,5,503.76,2023-11-27 18:32:49,63,3,5,21,22.0,35.0,1.0,447.8199999999997,2024-11-04 08:09:22,True,False,True,False,False,True,Low,Young,0,1
TX000110,5,143.03,2023-07-31 16:37:46,54,7,4,21,63.0,147.0,1.0,7981.45,2024-11-04 08:10:42,True,False,False,False,True,False,High,Mature,1,0
TX000112,3,245.54,2023-03-21 16:29:31,52,4,6,20,25.0,180.0,1.0,985.0599999999995,2024-11-04 08:10:26,True,False,False,False,False,True,Low,Young,0,1
TX000113,6,254.37,2023-04-20 18:26:50,44,3,9,18,51.0,174.0,1.0,8849.26,2024-11-04 08:06:56,False,False,True,True,False,False,High,Mature,1,0
TX000114,2,213.76,2023-03-01 17:52:14,44,6,3,26,78.0,282.0,1.0,3528.72,2024-11-04 08:09:36,False,False,False,False,True,False,Low,Senior,1,0
TX000115,2,327.86,2023-02-10 16:52:48,58,4,4,22,40.0,104.0,1.0,480.15999999999985,2024-11-04 08:06:30,True,False,True,True,False,False,Low,Adult,0,1
TX000116,3,2.5,2023-07-21 16:43:11,51,4,5,25,47.0,107.0,1.0,12145.27,2024-11-04 08:09:53,True,False,True,False,False,False,Very High,Adult,1,0
TX000117,4,300.08,2023-10-09 17:02:43,50,4,4,25,68.0,47.0,1.0,13546.75,2024-11-04 08:12:18,False,False,True,False,False,False,Very High,Senior,1,0
TX000119,6,407.65,2023-07-07 16:11:38,57,3,5,20,26.0,62.0,1.0,8346.64,2024-11-04 08:06:30,True,False,True,True,False,False,High,Young,0,0
TX000120,8,115.82999999999996,2023-05-22 17:09:52,58,8,5,17,39.0,167.0,1.0,6481.04,2024-11-04 08:10:02,True,True,False,True,False,False,Moderate,Adult,1,0
TX000121,5,53.56999999999999,2023-08-16 16:17:12,56,4,6,31,69.0,121.0,1.0,1651.33,2024-11-04 08:08:43,True,False,False,False,True,False,Low,Senior,1,0
TX000122,5,63.34,2023-11-17 16:02:02,55,5,3,30,46.0,165.0,1.0,11174.94,2024-11-04 08:10:13,False,False,True,False,False,False,High,Adult,1,0
TX000123,6,317.87,2023-05-22 17:29:35,55,3,6,20,27.0,91.0,1.0,145.5,2024-11-04 08:11:32,True,False,True,False,False,True,Low,Young,0,1
TX000124,4,331.65,2023-08-25 17:26:07,39,7,2,14,41.0,61.0,1.0,4172.57,2024-11-04 08:11:00,True,False,True,True,False,False,Moderate,Adult,0,1
TX000125,2,5.0400000000000205,2023-11-27 16:38:34,45,2,4,28,56.0,41.0,1.0,5558.36,2024-11-04 08:10:48,True,False,False,False,True,False,Moderate,Mature,1,0
TX000126,7,214.54,2023-08-04 17:46:44,55,5,5,39,70.0,247.0,1.0,11151.53,2024-11-04 08:11:56,False,False,True,False,False,False,High,Senior,1,0
TX000127,3,598.81,2023-09-04 16:48:35,58,6,7,18,57.0,158.0,1.0,1415.52,2024-11-04 08:10:13,True,True,False,False,False,False,Low,Mature,1,1
TX000128,8,841.28,2023-08-09 17:34:26,63,3,8,21,26.0,80.0,1.0,1103.6400000000008,2024-11-04 08:09:58,True,False,True,False,False,True,Low,Young,0,1
TX000129,7,38.14999999999998,2023-09-07 16:07:40,56,4,7,28,26.0,108.0,1.0,303.6800000000003,2024-11-04 08:07:42,True,False,True,False,False,True,Low,Young,0,1
TX000131,5,124.72,2023-07-03 17:14:07,60,2,6,26,33.0,105.0,1.0,6309.8,2024-11-04 08:07:25,True,True,False,True,False,False,Moderate,Young,0,0
TX000132,7,302.45,2023-09-25 17:13:36,54,4,5,26,78.0,40.000000000000014,1.0,5133.61,2024-11-04 08:11:55,False,True,False,False,True,False,Moderate,Senior,1,0
TX000133,5,208.04,2023-11-20 17:10:02,47,4,3,21,47.0,273.0,1.0,9344.98,2024-11-04 08:08:45,True,False,True,True,False,False,High,Adult,1,0
TX000134,6,5.769999999999982,2023-11-17 17:27:07,63,5,4,21,23.0,254.0,1.0,1117.9700000000003,2024-11-04 08:10:53,False,True,False,False,False,True,Low,Young,0,1
TX000135,6,381.33,2023-08-21 16:46:05,37,4,2,19,56.0,75.0,1.0,11835.35,2024-11-04 08:09:32,True,False,False,False,False,False,Very High,Mature,1,0
TX000136,9,16.160000000000025,2023-10-16 16:59:36,49,2,6,31,50.0,124.0,1.0,14401.17,2024-11-04 08:11:59,True,False,False,False,False,False,Very High,Mature,1,0
TX000137,7,486.08,2023-06-20 17:21:50,60,3,4,27,18.0,68.0,1.0,1748.69,2024-11-04 08:07:03,True,False,True,False,False,True,Low,Young,0,1
TX000138,5,336.39,2023-01-16 16:53:38,54,3,5,24,21.0,18.0,1.0,1000.46,2024-11-04 08:09:57,True,True,False,False,False,True,Low,Young,0,1
TX000140,5,234.57,2023-09-01 16:09:08,56,5,5,19,23.0,120.0,1.0,263.97999999999956,2024-11-04 08:08:47,True,False,True,False,False,True,Low,Young,0,1
TX000141,8,6.0,2023-10-23 18:38:15,56,3,6,23,30.0,246.0,1.0,5442.76,2024-11-04 08:09:43,True,False,True,False,False,False,Moderate,Young,0,1
TX000143,2,227.14,2023-07-03 17:42:08,63,3,4,26,18.0,294.0,1.0,341.9399999999996,2024-11-04 08:11:34,True,False,False,False,False,True,Low,Young,0,1
TX000144,5,233.74,2023-10-24 16:41:00,60,2,5,21,66.0,17.0,1.0,1066.5900000000001,2024-11-04 08:11:17,False,False,True,False,True,False,Low,Senior,1,0
TX000145,7,113.01999999999998,2023-09-25 16:54:22,53,5,2,29,69.0,166.0,1.0,6077.96,2024-11-04 08:07:21,False,True,False,False,True,False,Moderate,Senior,1,0
TX000146,7,45.849999999999994,2023-02-16 17:57:10,63,4,6,24,20.0,92.0,1.0,1659.15,2024-11-04 08:07:24,True,False,False,False,False,True,Low,Young,0,1
TX000149,2,415.5,2023-07-28 16:29:23,58,3,4,13,66.0,141.0,1.0,10113.66,2024-11-04 08:10:23,True,False,False,False,False,False,High,Senior,1,0
TX000150,8,265.76,2023-02-06 17:48:55,58,4,1,22,54.0,92.0,1.0,4446.17,2024-11-04 08:12:18,True,False,True,False,True,False,Moderate,Mature,1,0
TX000151,4,69.4,2023-07-24 18:08:43,50,8,5,21,80.0,113.0,1.0,6452.77,2024-11-04 08:09:04,True,False,True,False,True,False,Moderate,Senior,1,0
TX000152,9,332.93,2023-11-20 16:29:48,37,9,6,23,35.0,293.0,1.0,2788.2,2024-11-04 08:08:14,False,True,False,True,False,False,Low,Adult,0,1
TX000153,4,267.9,2023-10-09 16:52:47,54,3,6,22,20.0,160.0,1.0,596.1599999999999,2024-11-04 08:08:34,True,False,True,False,False,True,Low,Young,0,1
TX000154,8,496.03,2023-11-03 16:45:52,53,3,3,26,61.0,265.0,1.0,12904.66,2024-11-04 08:09:41,True,True,False,False,False,False,Very High,Mature,1,0
TX000155,9,376.26,2023-02-15 16:41:11,63,3,4,18,37.0,245.0,1.0,9062.4,2024-11-04 08:09:58,True,False,False,True,False,False,High,Adult,1,0
TX000156,3,83.01999999999998,2023-09-04 17:59:51,57,2,2,24,36.0,171.0,1.0,9009.56,2024-11-04 08:11:01,False,False,True,True,False,False,High,Adult,1,0
TX000157,3,93.25999999999999,2023-07-27 16:22:52,52,3,3,19,20.0,72.0,1.0,1152.1999999999998,2024-11-04 08:12:04,False,False,True,False,False,True,Low,Young,0,1
TX000158,6,803.37,2023-04-17 16:08:34,58,5,4,21,68.0,129.0,1.0,12168.37,2024-11-04 08:08:40,False,True,False,False,False,False,Very High,Senior,1,0
TX000159,9,35.75999999999999,2023-09-19 17:38:18,63,4,3,26,23.0,122.0,1.0,611.8599999999997,2024-11-04 08:11:40,True,True,False,False,False,True,Low,Young,0,1
TX000160,5,28.53000000000003,2023-05-31 16:37:39,45,7,6,22,62.0,99.0,1.0,8670.53,2024-11-04 08:06:30,True,False,True,False,False,False,High,Mature,1,0
TX000161,6,139.53,2023-10-09 17:20:09,47,1,5,29,53.0,177.0,1.0,10098.86,2024-11-04 08:07:31,False,False,True,False,False,False,High,Mature,1,0
TX000162,3,307.57,2023-01-09 16:12:01,55,4,2,22,33.0,285.0,1.0,5307.74,2024-11-04 08:06:33,True,True,False,False,False,False,Moderate,Young,0,1
TX000163,10,60.650000000000006,2023-05-26 18:15:08,63,4,3,24,56.0,53.0,1.0,1047.2799999999993,2024-11-04 08:09:22,False,True,False,False,True,False,Low,Mature,1,0
TX000164,3,74.86000000000001,2023-08-14 17:43:17,52,3,5,30,70.0,125.0,1.0,6921.48,2024-11-04 08:07:39,True,True,False,False,False,False,Moderate,Senior,1,0
TX000165,4,117.97,2023-11-24 18:51:32,54,7,5,27,51.0,137.0,1.0,1475.46,2024-11-04 08:09:21,True,True,False,False,True,False,Low,Mature,0,1
TX000166,7,231.91,2023-01-31 18:31:22,58,4,5,22,34.0,165.0,1.0,112.76000000000022,2024-11-04 08:12:15,True,False,False,True,False,False,Low,Adult,0,1
TX000167,6,126.20999999999998,2023-02-14 16:07:01,47,4,5,28,75.0,268.0,1.0,5669.66,2024-11-04 08:08:42,True,True,False,False,True,False,Moderate,Senior,1,0
TX000169,12,304.35,2023-12-04 17:07:34,56,7,2,26,31.0,36.0,1.0,4057.1,2024-11-04 08:08:45,True,True,False,True,False,False,Moderate,Young,0,1
TX000170,5,281.85,2023-05-16 17:26:37,55,1,3,30,22.0,109.0,1.0,1585.98,2024-11-04 08:07:38,True,False,False,False,False,True,Low,Young,0,1
TX000171,3,777.88,2023-03-20 16:58:12,56,3,9,24,31.0,17.0,1.0,6825.55,2024-11-04 08:09:15,True,True,False,True,False,False,Moderate,Young,0,1
TX000172,3,119.18,2023-08-25 18:01:38,63,7,4,20,56.0,96.0,1.0,5516.5,2024-11-04 08:07:34,True,True,False,False,True,False,Moderate,Mature,1,0
TX000173,7,177.19,2023-05-15 17:25:28,56,2,4,29,76.0,43.0,1.0,5343.3,2024-11-04 08:06:30,True,False,True,False,True,False,Moderate,Senior,1,0
